z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.74	0.6228	0.7444	6.1189	5.7569	6.4479	1.3642		0.74	-6.1189	0.574712644	0.3455		0.57	0.58	-6.319985657	-6.16545472	-6.247160733	0.137813363
0.46	0.3827	0.5013	4.5307	4.0579	4.959	0.8033		0.46	-4.5307	0.684931507	0.45055		0.68	0.69	-4.623732039	-4.470751186	-4.548289427	0.001524114
0.854	0.7489	0.947	6.9723	6.4717	7.4075	1.7819		0.854	-6.9723	0.539374326	0.4679		0.53	0.54	-6.93657999	-6.782757978	-6.792382225	0.147857056
0.839	0.6453	0.7594	6.22	5.8924	6.5267	1.4089		0.839	-6.22	0.54377379	0.31715		0.54	0.55	-6.782757978	-6.628685184	-6.724614139	2.531566846
1.02	0.9635	1.1226	7.7992	7.4766	8.0849	2.3061		1.02	-7.7992	0.495049505	0.30415		0.49	0.5	-7.548315964	-7.396022343	-7.471415225	1.161453733
1.12	1.0235	1.1826	8.0156	7.7182	8.2897	2.471		1.12	-8.0156	0.471698113	0.28575		0.47	0.48	-7.851287316	-7.700090046	-7.825612308	0.442057186
1.01	1.0565	1.2321	8.1632	7.8446	8.4496	2.5875		1.01	-8.1632	0.497512438	0.3025		0.49	0.5	-7.548315964	-7.396022343	-7.433906328	5.812381771
1.39	1.1091	1.2921	8.3536	8.0371	8.6332	2.7471		1.39	-8.3536	0.418410042	0.29805		0.41	0.42	-8.743022879	-8.596545259	-8.619834588	0.797904107
0.504	0.4757	0.5478	5.0327	4.7761	5.2782	0.9569		0.504	-5.0327	0.664893617	0.25105		0.66	0.67	-4.930620301	-4.777032194	-4.855460163	0.49842777
0.582	0.5658	0.6513	5.6739	5.397	5.9279	1.1827		0.582	-5.6739	0.632111252	0.26545		0.63	0.64	-5.392777412	-5.238527846	-5.360211448	1.396470865
0.496	0.4322	0.4982	4.6991	4.4505	4.9378	0.8529		0.496	-4.6991	0.668449198	0.24365		0.66	0.67	-4.930620301	-4.777032194	-4.80085067	0.17439809
0.87	0.8224	1.0835	7.4453	6.8433	7.9449	2.0648		0.87	-7.4453	0.534759358	0.5508		0.53	0.54	-6.93657999	-6.782757978	-6.863370583	1.116227608
0.679	0.6798	0.7939	6.408	6.0933	6.7029	1.4958		0.679	-6.408	0.595592615	0.3048		0.59	0.6	-6.010864541	-5.856259502	-5.924399901	2.51734557
0.331	0.2656	0.3092	3.2366	3.0259	3.4278	0.484		0.331	-3.2366	0.751314801	0.20095		0.75	0.76	-3.561152039	-3.411168455	-3.541432184	2.301153628
0.688	0.6018	0.6918	5.9013	5.6271	6.1613	1.2731		0.688	-5.9013	0.592417062	0.2671		0.59	0.6	-6.010864541	-5.856259502	-5.973495551	0.073058893
0.8	0.7039	0.8209	6.5423	6.2283	6.836	1.5591		0.8	-6.5423	0.555555556	0.30385		0.55	0.56	-6.628685184	-6.474411548	-6.542977608	4.97324E-06
0.532	0.5058	0.5868	5.2682	4.9907	5.5325	1.0349		0.532	-5.2682	0.652741514	0.2709		0.65	0.66	-5.084463588	-4.930620301	-5.04228723	0.69544622
0.449	0.3827	0.4427	4.2987	4.0579	4.5307	0.7394		0.449	-4.2987	0.690131125	0.2364		0.69	0.7	-4.470751186	-4.318119572	-4.468749805	0.517436824
0.371	0.3302	0.3812	3.8332	3.6139	4.0456	0.6207		0.371	-3.8332	0.729394602	0.21585		0.72	0.73	-4.0140169	-3.862598865	-3.871765675	0.031922564
0.249	0.2296	0.2656	2.8529	2.6757	3.0259	0.4082		0.249	-2.8529	0.800640512	0.1751		0.8	0.81	-2.816636671	-2.669443512	-2.807208767	0.068091589
0.463	0.4172	0.4817	4.5761	4.3341	4.8196	0.8182		0.463	-4.5761	0.683526999	0.24275		0.68	0.69	-4.623732039	-4.470751186	-4.569775703	0.000678744
0.461	0.4097	0.4712	4.5193	4.2751	4.7432	0.7996		0.461	-4.5193	0.684462697	0.23405		0.68	0.69	-4.623732039	-4.470751186	-4.555461323	0.02387104
0.285	0.2446	0.2836	3.0116	2.8236	3.1949	0.4394		0.285	-3.0116	0.778210117	0.18565		0.77	0.78	-3.261706159	-3.112784697	-3.1394399	0.474179679
0.633	0.6198	0.7174	6.033	5.7385	6.3027	1.327		0.633	-6.033	0.612369871	0.2821		0.61	0.62	-5.701682548	-5.547175172	-5.665066287	1.701112339
0.949	0.6663	0.8659	6.5733	6.0156	7.0493	1.5735		0.949	-6.5733	0.513083633	0.51685		0.51	0.52	-7.243265342	-7.09009996	-7.196034765	1.45170102
0.695	0.5913	0.6918	5.8745	5.5611	6.1613	1.2615		0.695	-5.8745	0.589970501	0.3001		0.58	0.59	-6.16545472	-6.010864541	-6.011320559	0.207859908
0.627	0.5373	0.6183	5.4749	5.2077	5.7294	1.1089		0.627	-5.4749	0.61462815	0.26085		0.61	0.62	-5.701682548	-5.547175172	-5.630174217	0.354337417
0.905	0.7264	0.926	6.8651	6.3516	7.3176	1.7254		0.905	-6.8651	0.524934383	0.483		0.52	0.53	-7.09009996	-6.93657999	-7.014347324	0.095481415
0.604	0.4922	0.5658	5.1568	4.8951	5.397	0.9974		0.604	-5.1568	0.623441397	0.25095		0.62	0.63	-5.547175172	-5.392777412	-5.494040781	1.805950209
0.791	0.6723	0.7789	6.3516	6.0503	6.6271	1.4685		0.791	-6.3516	0.558347292	0.2884		0.55	0.56	-6.628685184	-6.474411548	-6.499908475	0.264448694
0.592	0.4967	0.5823	5.2279	4.9271	5.5037	1.0207		0.592	-5.2279	0.628140704	0.2883		0.62	0.63	-5.547175172	-5.392777412	-5.421484533	0.450870715
0.571	0.4802	0.5583	5.0847	4.8088	5.3478	0.9747		0.571	-5.0847	0.636537237	0.2695		0.63	0.64	-5.392777412	-5.238527846	-5.291940808	0.591334225
0.557	0.4922	0.5658	5.1568	4.8951	5.397	0.9974		0.557	-5.1568	0.642260758	0.25095		0.64	0.65	-5.238527846	-5.084463588	-5.203697647	0.0349243
0.369	0.3302	0.3812	3.8332	3.6139	4.0456	0.6207		0.369	-3.8332	0.73046019	0.21585		0.73	0.74	-3.862598865	-3.711636167	-3.855651714	0.010819193
0.415	0.3692	0.4277	4.1915	3.9465	4.4158	0.7094		0.415	-4.1915	0.706713781	0.23465		0.7	0.71	-4.318119572	-4.165865749	-4.215899691	0.010812535
0.357	0.3242	0.3752	3.795	3.5612	3.9963	0.6094		0.357	-3.795	0.736919676	0.21755		0.73	0.74	-3.862598865	-3.711636167	-3.758137573	0.02871109
0.43	0.3692	0.4277	4.1915	3.9465	4.4158	0.7094		0.43	-4.1915	0.699300699	0.23465		0.69	0.7	-4.470751186	-4.318119572	-4.328793112	0.342339001
0.707	0.6348	0.7534	6.1781	5.8296	6.4953	1.3896		0.707	-6.1781	0.585823081	0.33285		0.58	0.59	-6.16545472	-6.010864541	-6.0754356	0.095135504
0.62	0.5943	0.6888	5.8745	5.58	6.1443	1.2615		0.62	-5.8745	0.617283951	0.28215		0.61	0.62	-5.701682548	-5.547175172	-5.589140138	1.022882298
0.643	0.5943	0.6888	5.8745	5.58	6.1443	1.2615		0.643	-5.8745	0.608642727	0.28215		0.6	0.61	-5.856259502	-5.701682548	-5.722662865	0.289598223
0.47	0.4472	0.5148	4.8196	4.5648	5.0535	0.889		0.47	-4.8196	0.680272109	0.24435		0.68	0.69	-4.623732039	-4.470751186	-4.619569295	0.670144788
0.61	0.5478	0.6288	5.542	5.2782	5.7934	1.1347		0.61	-5.542	0.621118012	0.2576		0.62	0.63	-5.547175172	-5.392777412	-5.529913311	0.002201522
0.263	0.2401	0.2776	2.9687	2.7796	3.139	0.4294		0.263	-2.9687	0.791765637	0.1797		0.79	0.8	-2.964422451	-2.816636671	-2.938328841	0.028564496
0.358	0.3287	0.3797	3.8205	3.6007	4.0333	0.6178		0.358	-3.8205	0.736377025	0.2163		0.73	0.74	-3.862598865	-3.711636167	-3.766329574	0.062720781
0.73	0.6558	0.7594	6.2532	5.9544	6.5267	1.4219		0.73	-6.2532	0.578034682	0.28615		0.57	0.58	-6.319985657	-6.16545472	-6.195824962	0.040203001
0.552	0.4832	0.5553	5.0847	4.8305	5.328	0.9747		0.552	-5.0847	0.644329897	0.24875		0.64	0.65	-5.238527846	-5.084463588	-5.171819611	0.122660766
0.337	0.3017	0.3482	3.5744	3.3601	3.7695	0.5583		0.337	-3.5744	0.747943156	0.2047		0.74	0.75	-3.711636167	-3.561152039	-3.592104272	0.007480325
0.822	0.6933	0.8629	6.6348	6.1697	7.0354	1.6028		0.822	-6.6348	0.54884742	0.43285		0.54	0.55	-6.782757978	-6.628685184	-6.6464433	0.000723565
0.95	0.7924	1.019	7.2389	6.6954	7.7006	1.9359		0.95	-7.2389	0.512820513	0.5026		0.51	0.52	-7.243265342	-7.09009996	-7.20006485	0.005970422
0.34	0.3092	0.3587	3.6531	3.4278	3.8586	0.5766		0.34	-3.6531	0.746268657	0.2154		0.74	0.75	-3.711636167	-3.561152039	-3.617302833	0.027618871
0.756	0.7024	0.8059	6.4953	6.22	6.7626	1.5377		0.756	-6.4953	0.569476082	0.2713		0.56	0.57	-6.474411548	-6.319985657	-6.328076308	0.379923388
0.613	0.5808	0.6738	5.7843	5.4941	6.0589	1.2271		0.613	-5.7843	0.619962802	0.2824		0.61	0.62	-5.701682548	-5.547175172	-5.547749905	0.701644086
0.55	0.4862	0.5598	5.1157	4.8521	5.3577	0.9837		0.55	-5.1157	0.64516129	0.2528		0.64	0.65	-5.238527846	-5.084463588	-5.15901081	0.029352052
0.811	0.7894	1.0145	7.2257	6.6803	7.6829	1.927		0.811	-7.2257	0.552181115	0.5013		0.55	0.56	-6.628685184	-6.474411548	-6.595036324	1.582705921
0.961	0.7969	1.0415	7.2981	6.7179	7.7877	1.9719		0.961	-7.2981	0.509943906	0.5349		0.5	0.51	-7.396022343	-7.243265342	-7.244122215	0.010183215
																		
																		0.761827116
