z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.48	0.4277	0.5058	4.7102	4.4158	4.9907	0.8568		0.48	-4.7102	0.675675676	0.28745		0.67	0.68	-4.777032194	-4.623732039	-4.690023998	0.004926581
0.45	0.3872	0.4622	4.4042	4.0946	4.6769	0.7671		0.45	-4.4042	0.689655172	0.29115		0.68	0.69	-4.623732039	-4.470751186	-4.476026388	0.060860352
0.388	0.3827	0.4487	4.3223	4.0579	4.5761	0.7462		0.388	-4.3223	0.720461095	0.2591		0.72	0.73	-4.0140169	-3.862598865	-4.007035088	1.480527397
0.425	0.2956	0.4187	3.8586	3.3055	4.3458	0.6264		0.425	-3.8586	0.701754386	0.52015		0.7	0.71	-4.318119572	-4.165865749	-4.291408375	0.692363407
0.62	0.5463	0.6873	5.7294	5.2682	6.1359	1.2047		0.62	-5.7294	0.617283951	0.43385		0.61	0.62	-5.701682548	-5.547175172	-5.589140138	0.104517162
0.57	0.4922	0.6063	5.2982	4.8951	5.6552	1.0444		0.57	-5.2982	0.636942675	0.38005		0.63	0.64	-5.392777412	-5.238527846	-5.285686949	0.001084039
0.3	0.2431	0.3032	3.1109	2.809	3.3737	0.458		0.3	-3.1109	0.769230769	0.28235		0.76	0.77	-3.411168455	-3.261706159	-3.273203259	0.330429562
0.38	0.3692	0.4457	4.2632	3.9465	4.5534	0.7293		0.38	-4.2632	0.724637681	0.30345		0.72	0.73	-4.0140169	-3.862598865	-3.943794043	1.107928514
0.43	0.3932	0.5238	4.6546	4.1432	5.1157	0.8412		0.43	-4.6546	0.699300699	0.48625		0.69	0.7	-4.470751186	-4.318119572	-4.328793112	0.448953432
0.027	0.027	0.033	0.3993	0.3601	0.4383	0.0435		0.027	-0.3993	0.973709834	0.0391		0.97	0.98	-0.404419252	-0.26887728	-0.354135424	1.334265822
0.034	0.03	0.0375	0.4577	0.3993	0.4965	0.0498		0.034	-0.4577	0.967117988	0.0486		0.96	0.97	-0.540694018	-0.404419252	-0.443693798	0.083055474
0.124	0.1156	0.1426	1.6054	1.4504	1.7577	0.1981		0.124	-1.6054	0.889679715	0.15365		0.88	0.89	-1.656827499	-1.514836753	-1.519384499	0.313392293
0.495	0.4097	0.4817	4.5534	4.2751	4.8196	0.8107		0.495	-4.5534	0.668896321	0.27225		0.66	0.67	-4.930620301	-4.777032194	-4.793983389	0.780900141
0.828	0.6873	1.0025	6.9723	6.1359	7.6354	1.7819		0.828	-6.9723	0.547045952	0.74975		0.54	0.55	-6.782757978	-6.628685184	-6.674199029	0.158086153
0.538	0.4832	0.5598	5.1054	4.8305	5.3577	0.9792		0.538	-5.1054	0.650195059	0.2636		0.65	0.66	-5.084463588	-4.930620301	-5.081462744	0.008246277
0.86	0.7639	0.9755	7.0769	6.5501	7.5262	1.8403		0.86	-7.0769	0.537634409	0.48805		0.53	0.54	-6.93657999	-6.782757978	-6.819145981	0.278921671
0.778	0.6873	0.914	6.7477	6.1359	7.2653	1.6629		0.778	-6.7477	0.562429696	0.5647		0.56	0.57	-6.474411548	-6.319985657	-6.436890747	0.302936989
0.508	0.3707	0.4982	4.4735	3.959	4.9378	0.7886		0.508	-4.4735	0.663129973	0.4894		0.66	0.67	-4.930620301	-4.777032194	-4.882547631	0.698585927
0.518	0.4847	0.6258	5.338	4.8413	5.7752	1.059		0.518	-5.338	0.658761528	0.46695		0.65	0.66	-5.084463588	-4.930620301	-4.949673356	0.691597826
0.334	0.2296	0.2986	3.0116	2.6757	3.3328	0.4394		0.334	-3.0116	0.749625187	0.32855		0.74	0.75	-3.711636167	-3.561152039	-3.566792374	2.855512335
0.44	0.3827	0.4487	4.3223	4.0579	4.5761	0.7462		0.44	-4.3223	0.694444444	0.2591		0.69	0.7	-4.470751186	-4.318119572	-4.402914913	0.096804591
0.5	0.4907	0.5793	5.1976	4.8844	5.4845	1.0113		0.5	-5.1976	0.666666667	0.30005		0.66	0.67	-4.930620301	-4.777032194	-4.828228229	1.515444865
0.01	0.009	0.0135	0.1416	0.1215	0.1817	0.016		0.01	-0.1416	0.99009901	0.0301		0.99	1	-0.134070295	0	-0.132742866	0.086587146
0.013	0.0105	0.015	0.1617	0.1416	0.2017	0.0183		0.013	-0.1617	0.987166831	0.03005		0.98	0.99	-0.26887728	-0.134070295	-0.172263389	0.123571302
0.016	0.0135	0.018	0.2017	0.1817	0.2416	0.0232		0.016	-0.2017	0.984251969	0.02995		0.98	0.99	-0.26887728	-0.134070295	-0.211557775	0.108333833
0.017	0.015	0.0195	0.2217	0.2017	0.2614	0.0252		0.017	-0.2217	0.983284169	0.02985		0.98	0.99	-0.26887728	-0.134070295	-0.224604386	0.009467168
0.029	0.03	0.036	0.4383	0.3993	0.4771	0.0484		0.029	-0.4383	0.971817298	0.0389		0.97	0.98	-0.404419252	-0.26887728	-0.379787232	2.262570336
0.58	0.5493	0.6528	5.6271	5.2882	5.9367	1.1665		0.58	-5.6271	0.632911392	0.32425		0.63	0.64	-5.392777412	-5.238527846	-5.347869311	0.741594205
0.526	0.4637	0.5388	4.9696	4.688	5.2178	0.9351		0.526	-4.9696	0.655307995	0.2649		0.65	0.66	-5.084463588	-4.930620301	-5.002803652	0.015711143
0.172	0.1531	0.1801	2.0216	1.8742	2.1664	0.2611		0.172	-2.0216	0.853242321	0.1461		0.85	0.86	-2.086883723	-1.94286003	-2.040186621	0.016184544
0.18	0.1651	0.1951	2.1664	2.0054	2.3243	0.285		0.18	-2.1664	0.847457627	0.15945		0.84	0.85	-2.231565577	-2.086883723	-2.123667245	0.07182452
0.472	0.4442	0.5208	4.8305	4.5421	5.0951	0.8931		0.472	-4.8305	0.679347826	0.2765		0.67	0.68	-4.777032194	-4.623732039	-4.633729876	0.506440057
0.43	0.3722	0.4337	4.2274	3.9714	4.462	0.7192		0.43	-4.2274	0.699300699	0.2453		0.69	0.7	-4.470751186	-4.318119572	-4.328793112	0.170852684
0.657	0.6033	0.7099	5.9632	5.6365	6.2615	1.2968		0.657	-5.9632	0.603500302	0.3125		0.6	0.61	-5.856259502	-5.701682548	-5.802152904	0.265586352
0.32	0.3017	0.3512	3.5876	3.3601	3.795	0.5609		0.32	-3.5876	0.757575758	0.21745		0.75	0.76	-3.561152039	-3.411168455	-3.447528112	0.414937936
0.579	0.5178	0.6063	5.3774	5.0743	5.6552	1.0737		0.579	-5.3774	0.633312223	0.29045		0.63	0.64	-5.392777412	-5.238527846	-5.341686517	0.015118951
0.45	0.3797	0.4607	4.3575	4.0333	4.6658	0.7566		0.45	-4.3575	0.689655172	0.31625		0.68	0.69	-4.623732039	-4.470751186	-4.476026388	0.140465293
0.581	0.4742	0.5553	5.0639	4.7651	5.328	0.9658		0.581	-5.0639	0.632511069	0.28145		0.63	0.64	-5.392777412	-5.238527846	-5.354044283	1.062736332
0.416	0.3872	0.4547	4.3575	4.0946	4.6211	0.7566		0.416	-4.3575	0.706214689	0.26325		0.7	0.71	-4.318119572	-4.165865749	-4.223498552	0.259108835
